tool_name,category,vertical,free_plan,starting_price_usd,highest_plan_price_usd,plan_count,rating,features_count,website
"Hetzner",cloud-hosting,Business,false,4.35,44,4,4.6,15,https://www.hetzner.com
"Vultr",cloud-hosting,Business,true,0,120,4,4.4,15,https://www.vultr.com
"Linode (Akamai Cloud)",cloud-hosting,Business,true,0,24,4,4.3,15,https://www.linode.com
"Google Cloud Platform",cloud-hosting,Business,true,0,,2,4.5,15,https://cloud.google.com
"Microsoft Azure",cloud-hosting,Business,true,0,,2,4.4,71,https://azure.microsoft.com
"A2 Hosting",cloud-hosting,Business,false,2.99,14.99,4,4.3,15,https://www.a2hosting.com
"Bluehost",cloud-hosting,Business,false,2.95,9.95,4,3.7,15,https://www.bluehost.com
"Namecheap",cloud-hosting,Business,false,1.98,4.98,3,4.4,15,https://www.namecheap.com
"WP Engine",cloud-hosting,Business,false,20,193,4,4.4,15,https://wpengine.com
"Figma",design-tools,Business,true,0,90,4,4.7,38,https://www.figma.com
"Canva",design-tools,Business,true,0,15,4,4.7,15,https://www.canva.com
"Adobe XD",design-tools,Business,false,59.99,59.99,1,4.3,31,https://www.adobe.com/products/xd.html
"Sketch",design-tools,Business,false,12,44,3,4.5,15,https://www.sketch.com
"InVision",design-tools,Business,true,0,,1,4.4,15,https://www.invisionapp.com
"Penpot",design-tools,Business,true,0,,3,4.3,15,https://penpot.app
"Affinity Designer",design-tools,Business,false,69.99,169.99,3,4.5,27,https://affinity.serif.com/en-us/designer/
"Adobe Illustrator",design-tools,Business,false,22.99,59.99,2,4.6,15,https://www.adobe.com/products/illustrator.html
"Adobe Photoshop",design-tools,Business,false,9.99,59.99,3,4.6,15,https://www.adobe.com/products/photoshop.html
"Lunacy",design-tools,Business,true,0,14.99,2,4.5,15,https://icons8.com/lunacy
"Procreate",design-tools,Business,false,12.99,19.99,2,4.6,18,https://procreate.com
"Pixlr",design-tools,Business,true,0,12.99,4,4.3,15,https://pixlr.com
"Framer",design-tools,Business,true,0,30,4,4.5,15,https://www.framer.com
"Spline",design-tools,Business,true,0,20,3,4.5,15,https://spline.design
"Miro",design-tools,Business,true,0,20,4,4.8,15,https://miro.com
"Whimsical",design-tools,Business,true,0,20,3,4.6,15,https://whimsical.com
"QuickBooks Online",accounting,Business,false,38,275,4,4,43,https://quickbooks.intuit.com
"Xero",accounting,Business,false,25,90,3,4.3,15,https://www.xero.com
"FreshBooks",accounting,Business,false,23,76,4,4.5,27,https://www.freshbooks.com
"Wave",accounting,Business,true,0,149,4,4.4,15,https://www.waveapps.com
"Zoho Books",accounting,Business,true,0,150,5,4.5,35,https://www.zoho.com/books/
"Sage Business Cloud Accounting",accounting,Business,false,10,25,3,4.1,15,https://www.sage.com/en-us/accounting-software/
"Kashoo",accounting,Business,false,30,30,1,4.1,15,https://www.kashoo.com
"Bench",accounting,Business,false,189,339,2,4.5,15,https://bench.co
"FreeAgent",accounting,Business,false,19,19,1,4.2,15,https://www.freeagent.com
"Bonsai",accounting,Business,false,9,29,3,4.3,15,https://www.hellobonsai.com
"Harvest",accounting,Business,true,0,10.8,2,4.3,15,https://www.getharvest.com
"Akaunting",accounting,Business,true,0,15,2,4.2,15,https://akaunting.com
"Manager.io",accounting,Business,true,0,100,3,4.3,15,https://www.manager.io
"Hurdlr",accounting,Business,true,0,16.67,3,4.1,15,https://www.hurdlr.com
"Patriot Software",accounting,Business,false,20,37,4,4.6,15,https://www.patriotsoftware.com
"Zoom",video-conferencing,Business,true,0,22.49,4,4.5,34,https://zoom.com
